Tipo,Ordem,Tamanho,Splits,Altura,Blocos
Insercao,crescente_100,100,90,6,96
Insercao,crescente_1000,1000,983,9,992
Insercao,crescente_10000,10000,9979,13,9992
Insercao,crescente_100000,100000,99974,16,99990
Insercao,decrescente_100,100,90,6,96
Insercao,decrescente_1000,1000,983,9,992
Insercao,decrescente_10000,10000,9979,13,9992
Insercao,decrescente_100000,100000,99974,16,99990
Insercao,rand_100_test1,100,53,5,58
Insercao,rand_100_test2,100,47,5,52
Insercao,rand_100_test3,100,50,5,55
Insercao,rand_100_test4,100,49,5,54
Insercao,rand_100_test5,100,49,5,54
Insercao,rand_100_test6,100,53,5,58
Insercao,rand_100_test7,100,49,5,54
Insercao,rand_100_test8,100,57,5,62
Insercao,rand_100_test9,100,49,5,54
Insercao,rand_100_test10,100,54,5,59
Insercao,rand_1000_test1,1000,564,8,572
Insercao,rand_1000_test2,1000,571,8,579
Insercao,rand_1000_test3,1000,557,8,565
Insercao,rand_1000_test4,1000,561,8,569
Insercao,rand_1000_test5,1000,559,8,567
Insercao,rand_1000_test6,1000,559,7,566
Insercao,rand_1000_test7,1000,573,8,581
Insercao,rand_1000_test8,1000,568,8,576
Insercao,rand_1000_test9,1000,570,8,578
Insercao,rand_1000_test10,1000,561,8,569
Insercao,rand_10000_test1,10000,5709,10,5719
Insercao,rand_10000_test2,10000,5686,10,5696
Insercao,rand_10000_test3,10000,5677,10,5687
Insercao,rand_10000_test4,10000,5728,10,5738
Insercao,rand_10000_test5,10000,5705,10,5715
Insercao,rand_10000_test6,10000,5710,11,5721
Insercao,rand_10000_test7,10000,5728,11,5739
Insercao,rand_10000_test8,10000,5699,10,5709
Insercao,rand_10000_test9,10000,5645,10,5655
Insercao,rand_10000_test10,10000,5697,10,5707
Insercao,rand_100000_test1,100000,57017,13,57030
Insercao,rand_100000_test2,100000,56931,13,56944
Insercao,rand_100000_test3,100000,57013,13,57026
Insercao,rand_100000_test4,100000,56875,13,56888
Insercao,rand_100000_test5,100000,57065,13,57078
Insercao,rand_100000_test6,100000,56888,13,56901
Insercao,rand_100000_test7,100000,56901,13,56914
Insercao,rand_100000_test8,100000,56930,13,56943
Insercao,rand_100000_test9,100000,57018,13,57031
Insercao,rand_100000_test10,100000,56951,13,56964